"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 02- 05","5,163.57","5,251.03","5,304.40","5,142.20","911.91M","-3.86%"
"2026- 02- 04","5,371.10","5,260.71","5,376.92","5,243.11","789.92M","1.57%"
"2026- 02- 03","5,288.08","5,114.81","5,288.08","5,101.31","672.61M","6.84%"
"2026- 02- 02","4,949.67","5,122.62","5,196.71","4,933.58","572.54M","-5.26%"
"2026- 01- 30","5,224.36","5,210.35","5,321.68","5,199.78","862.54M","0.06%"
"2026- 01- 29","5,221.25","5,243.42","5,252.61","5,073.12","699.66M","0.98%"
"2026- 01- 28","5,170.81","5,145.39","5,183.44","5,124.80","593.11M","1.69%"
"2026- 01- 27","5,084.85","4,932.89","5,084.85","4,890.72","476.16M","2.73%"
"2026- 01- 26","4,949.59","4,997.54","5,023.76","4,940.78","446.90M","-0.81%"
"2026- 01- 23","4,990.07","4,984.08","5,021.13","4,926.22","612.60M","0.76%"
"2026- 01- 22","4,952.53","4,987.06","5,019.54","4,934.17","568.62M","0.87%"
"2026- 01- 21","4,909.93","4,808.94","4,910.54","4,807.13","600.10M","0.49%"
"2026- 01- 20","4,885.75","4,900.28","4,935.48","4,823.88","667.71M","-0.39%"
"2026- 01- 19","4,904.66","4,829.40","4,917.37","4,827.95","570.84M","1.32%"
"2026- 01- 16","4,840.74","4,820.66","4,855.61","4,797.75","720.91M","0.90%"
"2026- 01- 15","4,797.55","4,710.28","4,797.55","4,705.44","545.17M","1.58%"
"2026- 01- 14","4,723.10","4,685.11","4,723.10","4,669.32","550.42M","0.65%"
"2026- 01- 13","4,692.64","4,662.44","4,693.07","4,641.58","429.15M","1.47%"
"2026- 01- 12","4,624.79","4,639.89","4,652.54","4,567.55","394.75M","0.84%"
"2026- 01- 09","4,586.32","4,530.03","4,590.03","4,500.48","399.22M","0.75%"
"2026- 01- 08","4,552.37","4,531.46","4,622.32","4,527.50","440.09M","0.03%"
"2026- 01- 07","4,551.06","4,566.34","4,611.72","4,488.20","553.65M","0.57%"
"2026- 01- 06","4,525.48","4,446.08","4,525.48","4,395.00","498.39M","1.52%"
"2026- 01- 05","4,457.52","4,385.92","4,457.52","4,381.93","513.87M","3.43%"
"2026- 01- 02","4,309.63","4,224.53","4,313.55","4,216.68","406.34M","2.27%"
"2025- 12- 30","4,214.17","4,193.75","4,226.36","4,186.95","408.20M","-0.15%"
"2025- 12- 29","4,220.56","4,146.48","4,220.56","4,146.48","502.39M","2.20%"
"2025- 12- 26","4,129.68","4,130.37","4,143.14","4,116.53","510.16M","0.51%"
"2025- 12- 24","4,108.62","4,136.24","4,137.20","4,106.62","363.61M","-0.21%"
"2025- 12- 23","4,117.32","4,127.40","4,140.84","4,110.25","385.85M","0.28%"
"2025- 12- 22","4,105.93","4,096.26","4,105.93","4,083.13","315.63M","2.12%"
"2025- 12- 19","4,020.55","4,055.78","4,055.78","3,997.05","442.66M","0.65%"
"2025- 12- 18","3,994.51","3,989.60","4,030.65","3,975.50","581.44M","-1.53%"
"2025- 12- 17","4,056.41","4,019.43","4,060.24","3,994.65","360.96M","1.43%"
"2025- 12- 16","3,999.13","4,093.32","4,099.01","3,996.23","373.99M","-2.24%"
"2025- 12- 15","4,090.59","4,053.74","4,123.19","4,052.65","346.84M","-1.84%"
"2025- 12- 12","4,167.16","4,123.83","4,168.17","4,120.73","426.62M","1.38%"
"2025- 12- 11","4,110.62","4,163.32","4,170.77","4,103.20","539.84M","-0.59%"
"2025- 12- 10","4,135.00","4,159.05","4,172.64","4,123.60","317.90M","-0.21%"
"2025- 12- 09","4,143.55","4,129.77","4,152.18","4,121.21","400.64M","-0.27%"
"2025- 12- 08","4,154.85","4,109.25","4,154.85","4,081.26","395.58M","1.34%"
"2025- 12- 05","4,100.05","4,023.50","4,100.05","4,003.29","478.51M","1.78%"
"2025- 12- 04","4,028.51","4,018.91","4,028.53","3,982.54","352.04M","-0.19%"
"2025- 12- 03","4,036.30","4,010.26","4,052.83","3,987.76","290.90M","1.04%"
"2025- 12- 02","3,994.93","3,939.09","3,994.93","3,935.14","319.04M","1.90%"
"2025- 12- 01","3,920.37","3,967.92","3,977.31","3,892.08","296.92M","-0.16%"
"2025- 11- 28","3,926.59","3,995.30","3,995.30","3,921.89","241.92M","-1.51%"
"2025- 11- 27","3,986.91","3,989.45","4,023.42","3,968.43","257.86M","0.66%"
"2025- 11- 26","3,960.87","3,891.88","3,960.87","3,866.66","295.33M","2.67%"
"2025- 11- 25","3,857.78","3,942.36","3,946.61","3,833.35","279.29M","0.30%"
"2025- 11- 24","3,846.06","3,915.16","3,917.16","3,838.20","373.12M","-0.19%"
"2025- 11- 21","3,853.26","3,908.70","3,911.55","3,838.46","319.32M","-3.79%"
"2025- 11- 20","4,004.85","4,030.97","4,059.37","4,001.31","360.28M","1.92%"
"2025- 11- 19","3,929.51","3,966.64","3,966.64","3,854.95","338.24M","-0.61%"
"2025- 11- 18","3,953.62","4,044.47","4,072.41","3,953.26","319.66M","-3.32%"
"2025- 11- 17","4,089.25","4,078.57","4,089.88","4,045.40","344.10M","1.94%"
"2025- 11- 14","4,011.57","4,061.91","4,092.76","4,011.40","399.99M","-3.81%"
"2025- 11- 13","4,170.63","4,127.57","4,188.54","4,123.84","424.19M","0.49%"
"2025- 11- 12","4,150.39","4,097.44","4,154.62","4,088.86","334.58M","1.07%"
"2025- 11- 11","4,106.39","4,124.30","4,187.46","4,066.58","377.55M","0.81%"
"2025- 11- 10","4,073.24","3,991.87","4,092.91","3,984.24","339.51M","3.02%"
"2025- 11- 07","3,953.76","3,963.72","4,037.61","3,887.32","377.05M","-1.81%"
"2025- 11- 06","4,026.45","4,092.46","4,111.96","3,985.29","423.42M","0.55%"
"2025- 11- 05","4,004.42","4,055.47","4,055.47","3,867.81","594.16M","-2.85%"
"2025- 11- 04","4,121.74","4,219.24","4,226.75","4,117.91","423.54M","-2.37%"
"2025- 11- 03","4,221.87","4,123.36","4,221.92","4,123.36","472.68M","2.78%"
"2025- 10- 31","4,107.50","4,083.25","4,122.09","4,059.74","408.28M","0.50%"
"2025- 10- 30","4,086.89","4,105.95","4,146.72","4,070.79","566.54M","0.14%"
"2025- 10- 29","4,081.15","4,061.54","4,084.09","4,014.84","466.90M","1.76%"
"2025- 10- 28","4,010.41","4,010.47","4,018.22","3,972.56","408.22M","-0.80%"
"2025- 10- 27","4,042.83","3,999.79","4,042.83","3,999.79","517.00M","2.57%"
"2025- 10- 24","3,941.59","3,893.23","3,951.07","3,886.64","426.90M","2.50%"
"2025- 10- 23","3,845.56","3,835.79","3,902.21","3,822.33","423.59M","-0.98%"
"2025- 10- 22","3,883.68","3,827.23","3,883.68","3,794.52","597.22M","1.56%"
"2025- 10- 21","3,823.84","3,851.01","3,893.06","3,816.19","526.85M","0.24%"
"2025- 10- 20","3,814.69","3,775.40","3,814.69","3,728.38","410.15M","1.76%"
"2025- 10- 17","3,748.89","3,732.76","3,794.87","3,722.07","420.77M","0.01%"
"2025- 10- 16","3,748.37","3,675.82","3,748.37","3,675.82","495.79M","2.49%"
"2025- 10- 15","3,657.28","3,580.64","3,659.91","3,577.06","543.61M","2.68%"
"2025- 10- 14","3,561.81","3,604.12","3,646.77","3,535.52","734.08M","-0.63%"
"2025- 10- 13","3,584.55","3,550.08","3,584.55","3,522.54","408.03M","-0.72%"
"2025- 10- 10","3,610.60","3,598.11","3,617.86","3,569.44","407.41M","1.73%"
"2025- 10- 06","3,549.21","3,525.48","3,549.21","3,549.21","402.11M","0.00%"
"2025- 10- 02","3,549.21","3,525.48","3,565.96","3,512.16","402.11M","2.70%"
"2025- 10- 01","3,455.83","3,444.06","3,459.74","3,440.42","493.64M","0.91%"
"2025- 09- 30","3,424.60","3,436.00","3,443.38","3,421.89","526.40M","-0.19%"
"2025- 09- 29","3,431.21","3,414.43","3,439.12","3,413.33","416.48M","1.33%"
"2025- 09- 26","3,386.05","3,440.39","3,441.91","3,365.73","399.15M","-2.45%"
"2025- 09- 25","3,471.11","3,458.98","3,479.42","3,454.08","293.08M","-0.03%"
"2025- 09- 24","3,472.14","3,492.03","3,497.95","3,442.41","287.14M","-0.40%"
"2025- 09- 23","3,486.19","3,489.46","3,494.49","3,467.83","358.34M","0.51%"
"2025- 09- 22","3,468.65","3,463.84","3,482.25","3,458.87","287.87M","0.68%"
"2025- 09- 19","3,445.24","3,461.23","3,467.89","3,434.61","348.84M","-0.46%"
"2025- 09- 18","3,461.30","3,432.77","3,461.30","3,422.77","391.18M","1.40%"
"2025- 09- 17","3,413.40","3,433.83","3,433.83","3,406.75","326.61M","-1.05%"
"2025- 09- 16","3,449.62","3,421.13","3,452.50","3,418.10","406.21M","1.24%"
"2025- 09- 15","3,407.31","3,407.78","3,420.23","3,391.33","378.85M","0.35%"
"2025- 09- 12","3,395.54","3,374.65","3,395.54","3,362.86","448.86M","1.54%"
"2025- 09- 11","3,344.20","3,336.60","3,344.70","3,311.86","435.59M","0.90%"
"2025- 09- 10","3,314.53","3,272.20","3,317.77","3,272.07","564.71M","1.67%"
"2025- 09- 09","3,260.05","3,231.31","3,260.05","3,221.98","439.95M","1.26%"
"2025- 09- 08","3,219.59","3,209.81","3,221.14","3,206.34","372.30M","0.45%"
"2025- 09- 05","3,205.12","3,208.83","3,214.64","3,196.19","323.84M","0.13%"
"2025- 09- 04","3,200.83","3,188.84","3,205.61","3,185.49","286.26M","0.52%"
"2025- 09- 03","3,184.42","3,177.75","3,187.48","3,167.23","335.82M","0.38%"
"2025- 09- 02","3,172.35","3,155.73","3,174.16","3,151.93","310.68M","0.94%"
"2025- 09- 01","3,142.93","3,164.58","3,177.40","3,135.02","260.14M","-1.35%"
"2025- 08- 29","3,186.01","3,208.80","3,212.69","3,184.48","245.13M","-0.32%"
"2025- 08- 28","3,196.32","3,175.33","3,211.34","3,164.08","312.19M","0.29%"
"2025- 08- 27","3,187.16","3,185.87","3,189.31","3,165.77","281.72M","0.25%"
"2025- 08- 26","3,179.36","3,199.92","3,199.92","3,175.31","325.35M","-0.95%"
"2025- 08- 25","3,209.86","3,195.14","3,209.86","3,180.12","220.16M","1.30%"
"2025- 08- 22","3,168.73","3,165.41","3,181.95","3,159.45","236.80M","0.86%"
"2025- 08- 21","3,141.74","3,140.71","3,166.54","3,134.86","276.92M","0.37%"
"2025- 08- 20","3,130.09","3,121.52","3,132.83","3,079.27","335.28M","-0.68%"
"2025- 08- 19","3,151.56","3,185.04","3,185.48","3,142.48","285.29M","-0.81%"
"2025- 08- 18","3,177.28","3,202.63","3,206.77","3,177.28","326.13M","-1.50%"
"2025- 08- 14","3,225.66","3,226.52","3,239.55","3,210.83","441.47M","0.04%"
"2025- 08- 13","3,224.37","3,225.40","3,226.37","3,192.17","320.07M","1.08%"
"2025- 08- 12","3,189.91","3,209.75","3,242.17","3,189.58","373.22M","-0.53%"
"2025- 08- 11","3,206.77","3,220.72","3,223.23","3,199.90","304.97M","-0.10%"
"2025- 08- 08","3,210.01","3,220.58","3,227.28","3,198.31","341.44M","-0.55%"
"2025- 08- 07","3,227.68","3,214.81","3,227.68","3,200.28","327.05M","0.92%"
"2025- 08- 06","3,198.14","3,182.06","3,200.15","3,176.61","327.36M","0.00%"
"2025- 08- 05","3,198.00","3,187.15","3,212.31","3,174.23","273.44M","1.60%"
"2025- 08- 04","3,147.75","3,114.27","3,157.45","3,105.63","293.45M","0.91%"
"2025- 08- 01","3,119.41","3,210.32","3,210.32","3,117.92","507.78M","-3.88%"
"2025- 07- 31","3,245.44","3,275.78","3,288.26","3,227.46","540.32M","-0.28%"
"2025- 07- 30","3,254.47","3,233.31","3,269.40","3,227.28","338.07M","0.74%"
"2025- 07- 29","3,230.57","3,192.17","3,232.31","3,169.03","373.20M","0.66%"
"2025- 07- 28","3,209.52","3,228.61","3,228.61","3,180.18","502.72M","0.42%"
"2025- 07- 25","3,196.05","3,184.37","3,205.82","3,184.37","389.29M","0.18%"
"2025- 07- 24","3,190.45","3,209.43","3,237.97","3,183.05","425.50M","0.21%"
"2025- 07- 23","3,183.77","3,189.65","3,199.86","3,141.93","664.83M","0.44%"
"2025- 07- 22","3,169.94","3,210.12","3,220.27","3,155.25","378.49M","-1.27%"
"2025- 07- 21","3,210.81","3,191.11","3,211.14","3,188.87","343.91M","0.71%"
"2025- 07- 18","3,188.07","3,200.44","3,204.75","3,169.69","393.45M","-0.13%"
"2025- 07- 17","3,192.29","3,201.42","3,201.42","3,152.42","424.79M","0.19%"
"2025- 07- 16","3,186.38","3,207.48","3,209.20","3,178.42","531.50M","-0.90%"
"2025- 07- 15","3,215.28","3,194.82","3,216.01","3,183.83","419.65M","0.41%"
"2025- 07- 14","3,202.03","3,175.59","3,202.06","3,170.72","444.04M","0.83%"
"2025- 07- 11","3,175.77","3,186.35","3,216.69","3,170.46","465.29M","-0.23%"
"2025- 07- 10","3,183.23","3,144.14","3,183.23","3,133.81","596.57M","1.58%"
"2025- 07- 09","3,133.74","3,123.22","3,137.17","3,111.02","642.96M","0.60%"
"2025- 07- 08","3,114.95","3,071.74","3,115.86","3,066.03","745.79M","1.81%"
"2025- 07- 07","3,059.47","3,044.78","3,068.43","3,032.99","359.40M","0.17%"
"2025- 07- 04","3,054.28","3,122.28","3,123.84","3,052.91","520.76M","-1.99%"
"2025- 07- 03","3,116.27","3,100.33","3,116.27","3,085.98","539.12M","1.34%"
"2025- 07- 02","3,075.06","3,083.82","3,090.61","3,032.47","696.80M","-0.47%"
"2025- 07- 01","3,089.65","3,089.64","3,133.52","3,088.45","576.02M","0.58%"
"2025- 06- 30","3,071.70","3,072.75","3,086.00","3,063.42","464.16M","0.52%"
"2025- 06- 27","3,055.94","3,077.87","3,093.56","3,041.85","381.63M","-0.77%"
"2025- 06- 26","3,079.56","3,108.34","3,113.03","3,036.55","460.61M","-0.92%"
"2025- 06- 25","3,108.25","3,127.79","3,129.09","3,084.86","644.76M","0.15%"
"2025- 06- 24","3,103.64","3,061.14","3,105.04","3,061.14","579.20M","2.96%"
"2025- 06- 23","3,014.47","2,992.20","3,019.81","2,971.36","625.65M","-0.24%"
"2025- 06- 20","3,021.84","2,986.52","3,022.06","2,972.37","484.86M","1.48%"
"2025- 06- 19","2,977.74","2,989.56","2,996.04","2,954.47","433.31M","0.19%"
"2025- 06- 18","2,972.19","2,933.63","2,979.32","2,933.63","576.55M","0.74%"
"2025- 06- 17","2,950.30","2,959.93","2,998.62","2,925.79","939.59M","0.12%"
"2025- 06- 16","2,946.66","2,903.50","2,947.07","2,886.13","726.35M","1.80%"
"2025- 06- 13","2,894.62","2,930.57","2,932.38","2,877.07","931.66M","-0.87%"
"2025- 06- 12","2,920.03","2,909.99","2,934.31","2,909.99","713.71M","0.45%"
"2025- 06- 11","2,907.04","2,887.32","2,908.16","2,879.92","393.93M","1.23%"
"2025- 06- 10","2,871.85","2,872.62","2,885.67","2,849.67","508.18M","0.56%"
"2025- 06- 09","2,855.77","2,841.56","2,867.27","2,841.39","537.62M","1.55%"
"2025- 06- 05","2,812.05","2,790.33","2,831.11","2,787.76","556.01M","1.49%"
"2025- 06- 04","2,770.84","2,737.92","2,771.03","2,734.02","489.94M","2.66%"
"2025- 06- 02","2,698.97","2,692.91","2,719.87","2,685.14","323.60M","0.05%"
"2025- 05- 30","2,697.67","2,713.24","2,717.54","2,689.87","525.66M","-0.84%"
"2025- 05- 29","2,720.64","2,691.06","2,720.64","2,686.64","448.34M","1.89%"
"2025- 05- 28","2,670.15","2,648.86","2,692.47","2,643.50","405.47M","1.25%"
"2025- 05- 27","2,637.22","2,630.29","2,642.63","2,625.66","318.29M","-0.27%"
"2025- 05- 26","2,644.40","2,598.45","2,644.40","2,595.96","380.17M","2.02%"
"2025- 05- 23","2,592.09","2,603.57","2,604.14","2,589.51","434.02M","-0.06%"
"2025- 05- 22","2,593.67","2,614.66","2,616.53","2,588.09","358.06M","-1.22%"
"2025- 05- 21","2,625.58","2,615.90","2,633.41","2,614.73","371.53M","0.91%"
"2025- 05- 20","2,601.80","2,622.68","2,622.91","2,598.10","456.99M","-0.06%"
"2025- 05- 19","2,603.42","2,613.70","2,619.43","2,593.44","313.30M","-0.89%"
"2025- 05- 16","2,626.87","2,630.64","2,633.98","2,619.10","359.71M","0.21%"
"2025- 05- 15","2,621.36","2,634.50","2,643.83","2,618.08","339.58M","-0.73%"
"2025- 05- 14","2,640.57","2,625.36","2,646.01","2,619.15","390.50M","1.23%"
"2025- 05- 13","2,608.42","2,601.76","2,620.64","2,601.58","422.46M","0.04%"
"2025- 05- 12","2,607.33","2,593.94","2,607.33","2,585.60","409.75M","1.17%"
"2025- 05- 09","2,577.27","2,587.93","2,589.58","2,571.20","485.55M","-0.09%"
"2025- 05- 08","2,579.48","2,581.27","2,590.90","2,575.78","471.64M","0.22%"
"2025- 05- 07","2,573.80","2,577.04","2,581.85","2,559.17","546.76M","0.55%"
"2025- 05- 02","2,559.79","2,556.52","2,567.04","2,540.57","585.49M","0.12%"
"2025- 04- 30","2,556.61","2,561.04","2,570.83","2,544.46","487.49M","-0.34%"
"2025- 04- 29","2,565.42","2,550.25","2,571.41","2,542.25","547.08M","0.65%"
"2025- 04- 28","2,548.86","2,551.23","2,558.69","2,541.97","454.10M","0.10%"
"2025- 04- 25","2,546.30","2,544.59","2,553.33","2,534.94","403.53M","0.95%"
"2025- 04- 24","2,522.33","2,525.34","2,530.61","2,507.21","327.94M","-0.13%"
"2025- 04- 23","2,525.56","2,520.56","2,526.72","2,507.10","538.12M","1.57%"
"2025- 04- 22","2,486.64","2,481.18","2,494.59","2,476.14","416.68M","-0.07%"
"2025- 04- 21","2,488.42","2,486.38","2,498.84","2,479.23","428.98M","0.20%"
"2025- 04- 18","2,483.42","2,473.30","2,486.37","2,466.90","450.98M","0.53%"
"2025- 04- 17","2,470.41","2,451.70","2,473.24","2,447.40","601.74M","0.94%"
"2025- 04- 16","2,447.43","2,472.78","2,475.83","2,442.72","613.17M","-1.21%"
"2025- 04- 15","2,477.41","2,464.51","2,482.56","2,461.23","560.34M","0.88%"
"2025- 04- 14","2,455.89","2,454.28","2,465.56","2,449.48","488.62M","0.95%"
"2025- 04- 11","2,432.72","2,400.74","2,433.18","2,394.25","369.70M","-0.50%"
"2025- 04- 10","2,445.06","2,395.13","2,445.06","2,391.39","670.39M","6.60%"
"2025- 04- 09","2,293.70","2,329.99","2,337.58","2,284.72","699.64M","-1.74%"
"2025- 04- 08","2,334.23","2,381.20","2,381.31","2,328.94","557.02M","0.26%"
"2025- 04- 07","2,328.20","2,359.25","2,369.40","2,327.01","619.50M","-5.57%"
"2025- 04- 04","2,465.42","2,450.49","2,506.71","2,438.02","695.08M","-0.86%"
"2025- 04- 03","2,486.70","2,437.43","2,488.92","2,437.43","480.06M","-0.76%"
"2025- 04- 02","2,505.86","2,525.62","2,532.15","2,499.83","515.60M","-0.62%"
"2025- 04- 01","2,521.39","2,511.24","2,530.61","2,494.43","453.39M","1.62%"
"2025- 03- 31","2,481.12","2,513.44","2,514.22","2,479.46","391.59M","-3.00%"
"2025- 03- 28","2,557.98","2,592.63","2,592.63","2,549.26","513.56M","-1.89%"
"2025- 03- 27","2,607.15","2,620.28","2,633.03","2,603.41","403.31M","-1.39%"
"2025- 03- 26","2,643.94","2,628.09","2,649.15","2,618.05","507.92M","1.08%"
"2025- 03- 25","2,615.81","2,653.04","2,654.63","2,612.74","439.28M","-0.62%"
"2025- 03- 24","2,632.07","2,636.43","2,648.82","2,629.38","372.43M","-0.42%"
"2025- 03- 21","2,643.13","2,633.90","2,645.82","2,617.78","497.53M","0.23%"
"2025- 03- 20","2,637.10","2,648.16","2,650.72","2,629.20","455.02M","0.32%"
"2025- 03- 19","2,628.62","2,613.48","2,642.83","2,613.48","653.33M","0.62%"
"2025- 03- 18","2,612.34","2,627.27","2,638.56","2,606.91","555.53M","0.06%"
"2025- 03- 17","2,610.69","2,588.32","2,610.69","2,587.52","396.57M","1.73%"
"2025- 03- 14","2,566.36","2,565.18","2,576.74","2,559.24","362.33M","-0.28%"
"2025- 03- 13","2,573.64","2,598.06","2,600.07","2,561.02","427.29M","-0.05%"
"2025- 03- 12","2,574.82","2,552.60","2,579.69","2,541.66","401.64M","1.47%"
"2025- 03- 11","2,537.60","2,516.69","2,547.88","2,505.91","399.02M","-1.28%"
"2025- 03- 10","2,570.39","2,555.40","2,579.76","2,549.99","435.70M","0.27%"
"2025- 03- 07","2,563.48","2,553.44","2,575.48","2,541.49","567.19M","-0.49%"
"2025- 03- 06","2,576.16","2,573.55","2,583.65","2,565.57","609.62M","0.70%"
"2025- 03- 05","2,558.13","2,548.45","2,561.47","2,535.18","569.41M","1.16%"
"2025- 03- 04","2,528.92","2,522.20","2,548.78","2,513.31","484.08M","-0.15%"
"2025- 02- 28","2,532.78","2,585.61","2,586.78","2,531.24","588.57M","-3.39%"
"2025- 02- 27","2,621.75","2,637.63","2,638.47","2,610.47","513.91M","-0.73%"
"2025- 02- 26","2,641.09","2,629.86","2,648.06","2,620.16","386.76M","0.41%"
"2025- 02- 25","2,630.29","2,617.64","2,641.49","2,617.12","410.28M","-0.57%"
"2025- 02- 24","2,645.27","2,636.12","2,645.27","2,626.88","536.35M","-0.35%"
"2025- 02- 21","2,654.58","2,653.76","2,656.04","2,638.44","444.70M","0.02%"
"2025- 02- 20","2,654.06","2,661.72","2,667.59","2,645.53","529.30M","-0.65%"
"2025- 02- 19","2,671.52","2,633.91","2,680.70","2,633.91","525.80M","1.70%"
